index,value
1/1/1962,589
2/1/1962,561
3/1/1962,640
4/1/1962,656
5/1/1962,727
6/1/1962,697
7/1/1962,640
8/1/1962,599
9/1/1962,568
10/1/1962,577
11/1/1962,553
12/1/1962,582
1/1/1963,600
2/1/1963,566
3/1/1963,653
4/1/1963,673
5/1/1963,742
6/1/1963,716
7/1/1963,660
8/1/1963,617
9/1/1963,583
10/1/1963,587
11/1/1963,565
12/1/1963,598
1/1/1964,628
2/1/1964,618
3/1/1964,688
4/1/1964,705
5/1/1964,770
6/1/1964,736
7/1/1964,678
8/1/1964,639
9/1/1964,604
10/1/1964,611
11/1/1964,594
12/1/1964,634
1/1/1965,658
2/1/1965,622
3/1/1965,709
4/1/1965,722
5/1/1965,782
6/1/1965,756
7/1/1965,702
8/1/1965,653
9/1/1965,615
10/1/1965,621
11/1/1965,602
12/1/1965,635
1/1/1966,677
2/1/1966,635
3/1/1966,736
4/1/1966,755
5/1/1966,811
6/1/1966,798
7/1/1966,735
8/1/1966,697
9/1/1966,661
10/1/1966,667
11/1/1966,645
12/1/1966,688
1/1/1967,713
2/1/1967,667
3/1/1967,762
4/1/1967,784
5/1/1967,837
6/1/1967,817
7/1/1967,767
8/1/1967,722
9/1/1967,681
10/1/1967,687
11/1/1967,660
12/1/1967,698
1/1/1968,717
2/1/1968,696
3/1/1968,775
4/1/1968,796
5/1/1968,858
6/1/1968,826
7/1/1968,783
8/1/1968,740
9/1/1968,701
10/1/1968,706
11/1/1968,677
12/1/1968,711
1/1/1969,734
2/1/1969,690
3/1/1969,785
4/1/1969,805
5/1/1969,871
6/1/1969,845
7/1/1969,801
8/1/1969,764
9/1/1969,725
10/1/1969,723
11/1/1969,690
12/1/1969,734
1/1/1970,750
2/1/1970,707
3/1/1970,807
4/1/1970,824
5/1/1970,886
6/1/1970,859
7/1/1970,819
8/1/1970,783
9/1/1970,740
10/1/1970,747
11/1/1970,711
12/1/1970,751
1/1/1971,804
2/1/1971,756
3/1/1971,860
4/1/1971,878
5/1/1971,942
6/1/1971,913
7/1/1971,869
8/1/1971,834
9/1/1971,790
10/1/1971,800
11/1/1971,763
12/1/1971,800
1/1/1972,826
2/1/1972,799
3/1/1972,890
4/1/1972,900
5/1/1972,961
6/1/1972,935
7/1/1972,894
8/1/1972,855
9/1/1972,809
10/1/1972,810
11/1/1972,766
12/1/1972,805
1/1/1973,821
2/1/1973,773
3/1/1973,883
4/1/1973,898
5/1/1973,957
6/1/1973,924
7/1/1973,881
8/1/1973,837
9/1/1973,784
10/1/1973,791
11/1/1973,760
12/1/1973,802
1/1/1974,828
2/1/1974,778
3/1/1974,889
4/1/1974,902
5/1/1974,969
6/1/1974,947
7/1/1974,908
8/1/1974,867
9/1/1974,815
10/1/1974,812
11/1/1974,773
12/1/1974,813
1/1/1975,834
2/1/1975,782
3/1/1975,892
4/1/1975,903
5/1/1975,966
6/1/1975,937
7/1/1975,896
8/1/1975,858
9/1/1975,817
10/1/1975,827
11/1/1975,797
12/1/1975,843
